"date","year","month","day","service","pre_percentage","timepoint","traffic","day_number"
2020-03-06,2020,3,6,"AccessARide",104,"pre_est",29778.8461538462,11
2020-03-06,2020,3,6,"BridgesAndTunnels",103,"current",945408,10
2020-03-06,2020,3,6,"BridgesAndTunnels",103,"pre_est",917871.844660194,11
2020-03-06,2020,3,6,"SIRailway",96,"current",15285,10
2020-03-06,2020,3,6,"SIRailway",96,"pre_est",15921.875,11
2020-03-07,2020,3,7,"Subway",92,"current",2814637,12
2020-03-07,2020,3,7,"Subway",92,"pre_est",3059388.04347826,13
2020-03-07,2020,3,7,"Bus",94,"current",1249085,12
2020-03-07,2020,3,7,"Bus",94,"pre_est",1328813.82978723,13
2020-03-07,2020,3,7,"LIRR",98,"current",106058,12
2020-03-07,2020,3,7,"LIRR",98,"pre_est",108222.448979592,13
2020-03-07,2020,3,7,"MetroNorth",56,"current",75838,12
2020-03-07,2020,3,7,"MetroNorth",56,"pre_est",135425,13
2020-03-07,2020,3,7,"AccessARide",107,"current",18117,12
2020-03-07,2020,3,7,"AccessARide",107,"pre_est",16931.7757009346,13
2020-03-07,2020,3,7,"BridgesAndTunnels",95,"current",827907,12
2020-03-07,2020,3,7,"BridgesAndTunnels",95,"pre_est",871481.052631579,13
2020-03-07,2020,3,7,"SIRailway",48,"current",2445,12
2020-03-07,2020,3,7,"SIRailway",48,"pre_est",5093.75,13
2020-03-08,2020,3,8,"Subway",93,"current",2120656,14
2020-03-08,2020,3,8,"Subway",93,"pre_est",2280275.2688172,15
2020-03-08,2020,3,8,"Bus",96,"current",957163,14
2020-03-08,2020,3,8,"Bus",96,"pre_est",997044.791666667,15
2020-03-08,2020,3,8,"LIRR",94,"current",81565,14
2020-03-08,2020,3,8,"LIRR",94,"pre_est",86771.2765957447,15
2020-03-08,2020,3,8,"MetroNorth",64,"current",60800,14
2020-03-08,2020,3,8,"MetroNorth",64,"pre_est",95000,15
2020-03-08,2020,3,8,"AccessARide",111,"current",19477,14
2020-03-08,2020,3,8,"AccessARide",111,"pre_est",17546.8468468468,15
2020-03-08,2020,3,8,"BridgesAndTunnels",95,"current",765083,14
2020-03-08,2020,3,8,"BridgesAndTunnels",95,"pre_est",805350.52631579,15
2020-03-08,2020,3,8,"SIRailway",53,"current",1672,14
2020-03-08,2020,3,8,"SIRailway",53,"pre_est",3154.71698113208,15
2020-03-09,2020,3,9,"Subway",89,"current",4973513,16
2020-03-09,2020,3,9,"Subway",89,"pre_est",5588216.85393258,17
2020-03-09,2020,3,9,"Bus",95,"current",2124770,16
2020-03-09,2020,3,9,"Bus",95,"pre_est",2236600,17
2020-03-09,2020,3,9,"LIRR",88,"current",277001,16
2020-03-09,2020,3,9,"LIRR",88,"pre_est",314773.863636364,17
2020-03-09,2020,3,9,"MetroNorth",67,"current",183953,16
2020-03-09,2020,3,9,"MetroNorth",67,"pre_est",274556.71641791,17
2020-03-09,2020,3,9,"AccessARide",100,"current",29609,16
2020-03-09,2020,3,9,"AccessARide",100,"pre_est",29609,17
2020-03-09,2020,3,9,"BridgesAndTunnels",93,"current",860073,16
2020-03-09,2020,3,9,"BridgesAndTunnels",93,"pre_est",924809.677419355,17
2020-03-09,2020,3,9,"SIRailway",101,"current",16122,16
2020-03-09,2020,3,9,"SIRailway",101,"pre_est",15962.3762376238,17
2020-03-10,2020,3,10,"Subway",87,"current",4867818,18
2020-03-10,2020,3,10,"Subway",87,"pre_est",5595193.10344828,19
2020-03-10,2020,3,10,"Bus",94,"current",2111989,18
2020-03-10,2020,3,10,"Bus",94,"pre_est",2246796.80851064,19
2020-03-10,2020,3,10,"LIRR",83,"current",259324,18
2020-03-10,2020,3,10,"LIRR",83,"pre_est",312438.554216867,19
